channel_username,message_id,post_url,published_at,text,marketing_status,tags,mapped_courses,course_match_status,evidence_text,classification_note,reviewed_tags,include_in_calendar,analysis_scope,review_decision,paid_placement_status,review_note
postupashki,4682,https://t.me/postupashki/4682,2026-08-04T16:51:03+00:00,"Товарищи, сегодня фактически последний день поступления

Да, формальный дедлайн - это 5 августа, 12:00 по Москве. Вчера вышли приказы по БВИ и квотам, поэтому теперь можно нормально оценить конкурсные списки.

Что бы я советовал вам сделать сегодня, если вы поступаете по ЕГЭ (всем БВИшникам, кстати обязательно записаться на курс подготовки к ВУЗу):

1. Пересчитать бюджетные места
Посмотрите, сколько мест осталось после зачисления БВИ и квотников. Лучше ориентироваться на списки на сайтах самих вузов - обычно там информация обновляется быстрее. Плюс, во всех хороших местах анализируют приемные компании прошлых лет, выкладывают свою аналитику, обзванивают людей и тп, поэтому не поленитесь и почекайте соц сети выбранных мест/позвоните в ПК и задайте прямой вопрос о ваших шансах (это поможет вам оценить свои шансы, но точно не должно восприниматься как истина в последней инстанции).

2. Обязательно проверьте ВПП
Это высший проходной приоритет. Проще говоря, программа, куда вы прямо сейчас точно проходите.

3. Советую выбрать основной и резервный варианты
Основной вуз, куда вы хотите и пока проходите с небольшим запасом. Запасной вуз, где запас заметно больше и куда можно быстро переложить согласие. Вечером 4 августа обычно разумнее держать согласие именно в основном варианте.

4. Помнить про правило двух часов
Согласие можно перекладывать не чаще одного раза в два часа. Поэтому метаться между вузами в последний момент опасно: можно просто не успеть вернуться в запасной вариант (для запаса берем хотя бы 2.5 часа).

5. Утром проверить всё ещё раз
Завтра не поленитесь: поставьте будильник пораньше и посмотрите списки, ВПП и свой запас. Если там что-то меняется, то лучше оставить себе два часа на экстренный переход. Очень важно держать в уме, что списки обновляются с задержкой. Приёмные комиссии могут ещё обрабатывать согласия, которые принесли лично или отправили курьером. Поэтому сейчас лучше исходить из худшей оценки ситуации и принимать решение имея хотя бы какой-то запас по баллам!

И помните, камрады, дедлайн для всех регионов и часовых поясов 5 августа, 12:00 по Москве.",confirmed,sale;native,"[""К ВУЗу""]",explicit,"Что бы я советовал вам сделать сегодня, если вы поступаете по ЕГЭ (всем БВИшникам, кстати обязательно записаться на курс подготовки к ВУЗу):","Курс прямо назван в рекламном контексте или указан в конкретной ссылке на программу; регистр / склонение / очевидный языковой вариант приведены к названию XLSX. Это соответствие названия, не атрибуция продаж. Школьное направление: явно названа программа «К ВУЗу»; это не реклама взрослых карьерных курсов.",sale;native,True,separate_course_K_VUZU,calendar_content_only,unknown,
chad_protocol,508,https://t.me/chad_protocol/508,2026-08-05T15:19:34+00:00,"Вопросы зарубежного HR

Собрали гайдик с популярными вопросами HR на зарубежном собесе. Советую сохранить и репетировать в очереди/метро. Полный гайд 100+ вопросами доступен в нашем блоке по карьере зарубежом.

Сейчас многих специалистов посещает хорошая мысль рассматривать карьерные возможности зарубежом. Специально для них мы добавили новый блок ""карьера зарубежом"" в наши новые курсы линейки ПРО. Собрали все самое важное:
— как себя позиционировать
— как заполнить CV, Linkedin
— базу рефералов, вакансий и рекрутеров
— как проходить собесы и торговаться за зарплату
— все о релокации
Получилось мощно, будем продавать отдельно, но участникам ПРО этого набора, блок будет доступен бесплатно.

Подписаться: @chad_protocol",confirmed,sale;launch;native,"[""Аналитика про"", ""ML про"", ""Backend про"", ""Алгоритмы про"", ""AI агенты""]",family_candidate,"ый блок ""карьера зарубежом"" в наши новые курсы линейки ПРО. Собрали все самое важное:
— как себя позиционировать
— как заполнить CV, Linkedin
— базу рефералов, вакансий и рекрутеров
— как проходить собесы и торговаться за зарплату
— все о релокации
Получилось мощно",Продвигается линейка ПРО или её общий карьерный блок. mapped_courses — кандидаты из пяти направлений объявленного набора; это не подтверждение индивидуальной рекламы каждого курса или контакта с ним.,sale;native,True,career_courses,calendar_content_only,unknown,Описан новый карьерный блок ПРО; самостоятельная дата запуска или открытия набора не установлена. launch убран только в проверенной копии.
postypashki_old,1833,https://t.me/postypashki_old/1833,2026-08-07T14:22:16+00:00,"Слив алгоритмического собеса в Авито. Смотрим! Смотрим!

https://www.youtube.com/watch?v=dO8fHARGgZY&sttick=0

Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито. Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!",confirmed,native,"[""Алгоритмы старт""]",explicit,Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито. Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!,"Курс прямо назван в рекламном контексте или указан в конкретной ссылке на программу; регистр / склонение / очевидный языковой вариант приведены к названию XLSX. Это соответствие названия, не атрибуция продаж.",native,True,career_courses,calendar_content_only,unknown,
chad_protocol,510,https://t.me/chad_protocol/510,2026-08-08T09:24:53+00:00,"Почему автоотклики - полный кринж

В последнее время у зумеров стали популярны всякие ИИ-агенты и подобная нечесть, которая за тебя и LinkedIn, и GitHub заполнит, и вакансии найдёт, и под каждую напишет резюме с сопроводительным письмом, и с рекрутером пообщается, и собес пройдёт, и испытательный срок… и жену твою… Короче, полный кринж. Почему это всё не работает?

1. Профили, заполненные нейроскопом, LinkedIn отправляет в теневой бан.
Рекрутеры такие профили обходят стороной.

2. Про нейроскопные резюме и сопроводительные письма уже был мем.
Кандидат написал, что работал с моделями «Ясасу Бибу» и «Цист Яна». Сейчас вакансий и так немного, а кандидатов - завались, поэтому рекрутеры просто реджектят нейроскоп-резюме. Надо же как-то отсеивать.

3. То же самое с общением. Сгенерированный текст все научились различать невооружённым взглядом. Ну и вам самим приятно, когда собеседник тупо отвечает как GPT? У нас в РФ к этому пока терпимее, а вот за рубежом с их культурой общения - сразу бан. Причём в прямом смысле: добавляют в чёрные списки.

Блин, как же я умираю со смеху, когда говорят, что чёрных списков не существует. Серьёзно? Мы живём в мире, где ИИ-агенты проходят собесы и откликаются на вакансии, где есть селф-драйвы и распознавание лиц в метро. И вы думаете, рекрутер не может навайбкодить что-то подобное? Может, наша slavic girl, перекатившаяся с ноготочков на HR-менеджмент, и не сможет. А вот тётя Линда, которая живёт этим десяток лет, - спокойно навайбкодит. Это её хлеб, репутация и статус. Crazy пиндосы, короче.

4. А сколько мне за последний месяц отдали ТЗ с техническими ошибками, сгенерированными нейронкой…
Я знаю случаи, когда использование нейросети приводило к ошибкам в проде, но джуны/мидлы продолжают верить, что это революция, и бездумно копируют код из терминала в прод, не проверяя.
Я к этому отношусь очень скептически и всем зумерам ограничил права (серьезно всем младше 25 лет я не доверяю). Если нейронка выдаёт скрипт на удаление/merge/insert - десять раз проверяю перед использованием, потому что она может убить валидные данные. Но зумеры об этом не думают.
У меня команда состоит из:
3 ChatGPT,
1 Grok,
2 Claude Code,
2 Gemini,
1 Lovable,
и я на Claude Code + Gemini

Итого. Советую чат гпт использовать для вдохновения и шлифовки уже имеющегося решения/текста. Следите, чтобы решение не было сгенерено более чем на 20% нейронкой. И подключайтесь на наши курсы ""СТАРТ"" по топовой скидочки, где научим вас думать лучше нейросетки в 100 раз, научим проходить hr фильтры и строить топовую карьеру 🤩.
➡️ Записаться

Подписаться: @chad_protocol",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,"рено более чем на 20% нейронкой. И подключайтесь на наши курсы ""СТАРТ"" по топовой скидочки, где научим вас думать лучше нейросетки в 100 раз, научим проходить hr фильтры и строить топовую карьеру 🤩.
➡️ Записаться","Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам.",sale;discount;native,True,career_courses,calendar_content_only,unknown,
postypashki_mems,1373,https://t.me/postypashki_mems/1373,2026-08-08T10:34:46+00:00,"Осенний найм уже на старте!

Осенью запускаются стажировки, открываются вакансии и поэтому август — лучшее время для подготовки: понять, что спрашивают на отборах, оценить свой уровень и закрыть пробелы до начала учебы!

Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽

➡Аналитика
➡Алгоритмы
➡Backend
➡Machine Learning

Почему сейчас лучшее время присоединиться:
✔️Гибкий старт: все лекции по техническим темам уже выложены и доступны — проходите в своём темпе, а куратор остается на связи и проверит дз и проекты.
✔️Карьерный блок: онлайн-семинарам по софтам. Напишете резюме, которое пройдет скрининг, даже если нет опыта, отработаете самопрезенатицию, пройдёте mock-собеседование с обратной связью.
✔️Закрытый банк вопросов с реальных интервью Яндекса, Т-Банка, Ozon, WB, Авито и других топ-компаний.
✔️Разбор текущего отбора на стажировок Яндекса.
✔️ Реферальная рекомендация в бигтех после успешной защиты пет-проекта.

Выгодное комбо:

➡️Алгоритмы + любой курс всего за 9 990 ₽⬅️

Берите Backend, ML или Аналитику и параллельно ботайте алгоритмы — они встречаются везде, без хороших алгосов не пройти отбор в хорошую компанию.

🔊 Распродажа только 8-9 августа.
Подробную программу смотрите на сайте

📌Для вопросов и записи на курс напишите менеджеру",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽,"Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам. Исходная ссылка пересылки есть в JSONL; публикация / подпись автора не подтверждает платность внешнего размещения или контакт покупателя.",sale;discount;native,True,career_courses,calendar_content_only,unknown,
algoses,594,https://t.me/algoses/594,2026-08-08T14:04:16+00:00,"Осенний найм уже на старте!

Осенью запускаются стажировки, открываются вакансии и поэтому август — лучшее время для подготовки: понять, что спрашивают на отборах, оценить свой уровень и закрыть пробелы до начала учебы!

Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽

➡Аналитика
➡Алгоритмы
➡Backend
➡Machine Learning

Почему сейчас лучшее время присоединиться:
✔️Гибкий старт: все лекции по техническим темам уже выложены и доступны — проходите в своём темпе, а куратор остается на связи и проверит дз и проекты.
✔️Карьерный блок: онлайн-семинарам по софтам. Напишете резюме, которое пройдет скрининг, даже если нет опыта, отработаете самопрезенатицию, пройдёте mock-собеседование с обратной связью.
✔️Закрытый банк вопросов с реальных интервью Яндекса, Т-Банка, Ozon, WB, Авито и других топ-компаний.
✔️Разбор текущего отбора на стажировок Яндекса.
✔️ Реферальная рекомендация в бигтех после успешной защиты пет-проекта.

Выгодное комбо:

➡️Алгоритмы + любой курс всего за 9 990 ₽⬅️

Берите Backend, ML или Аналитику и параллельно ботайте алгоритмы — они встречаются везде, без хороших алгосов не пройти отбор в хорошую компанию.

🔊 Распродажа только 8-9 августа.
Подробную программу смотрите на сайте

📌Для вопросов и записи на курс напишите менеджеру",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽,"Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам. Исходная ссылка пересылки есть в JSONL; публикация / подпись автора не подтверждает платность внешнего размещения или контакт покупателя.",sale;discount;native,True,career_courses,calendar_content_only,unknown,
postypashki_old,1836,https://t.me/postypashki_old/1836,2026-08-09T10:32:11+00:00,"Дайджест вакансий

Товарищи, собрали свежие стажировки и junior-вакансии по аналитике, ML и разработке. Сохраняйте и отправляйте резюме - ждать осеннего найма необязательно.

📌 АНАЛИТИКА
→ ВТБ — Стажёр в «Цифровые помощники»
→ Альфа-Банк — Стажёр в департамент продаж и развития малого и микробизнеса
→ Альфа-Банк — Стажёр в отдел разработки дебетовых продуктов
→ Ozon — Стажёр-аналитик в коммерцию
→ Ozon — Младший аналитик данных
→ Ozon — Стажёр продуктовый аналитик, Производство Fulfillment
→ МТС — Стажёр Data Analyst Geo
→ Т-Банк - Младший продуктовый аналитик
→ Магнит — Стажер-продуктовый аналитик (направление данных и метрик)

💡 MACHINE LEARNING
→ Альфа-Банк — Стажёр NLP инженер
→ Ozon Tech — Стажер ML-инженер, рекомендательные системы
→ МТС — Стажер ML Engineer
→ VK — ML-инженер (Audio/Deep Learning)
→ VK — ML-инженер в рекомендательные системы
→ CБЕР — Стажер
→ СБЕР — Стажер разработка и внедрение решений с LLM
→ CБЕР — Стажер-разработчик AI-агентов

▶️ BACKEND
→ Ozon Tech — Стажёр-разработчик Golang
→ Ozon Tech — Стажёр Go-разработчик, Витрина товаров и управление заказами
→ Ozon — Младший Python разработчик
→ VK — Backend-разработчик
→ VK — Golang-разработчик
→ VK — Backend-разработчик

🫥🫥🫥🫥
Если по требованиям понимаете, что каких-то знаний пока не хватает - приходите ботать на наши карьерные курсы СТАРТ. На курсах разбираем базу по аналитике, ML, Backend и алгоритмам, программа курсов можно посмотреть на нашем сайте.

Лекции и семинары уже доступны в записи - можно сразу идти ботать нужные темы в своём темпе. А карьерные семинары только начинаются: если пока нет нормального резюме или не знаете, как проходят отборы, то вместе с преподавателем соберёте резюме под вакансии, подготовите самопрезентацию и пройдёте mock-собеседование, чтобы оценить свой уровень.

🔊 До конца дня на СТАРТы действует финальная скидка 55%. Успевайте присоединиться!

➡️ Записаться",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,🔊 До конца дня на СТАРТы действует финальная скидка 55%. Успевайте присоединиться!,"Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам.",sale;discount;native,True,career_courses,calendar_content_only,unknown,
postypashki_old,1837,https://t.me/postypashki_old/1837,2026-08-09T15:35:40+00:00,"Как найти стажировку зарубежом

Товарищи, пока идут последние 6 часов финальной распродажи на СТАРТ, хотим напомнить: база, которую вы проходите на курсах, пригодится не только для отборов в Яндекс, Авито или Т-Банк.

Зарубежные компании на технических собеседованиях проверяют плюс-минус те же темы:

⬇️ Аналитика — SQL, статистика, A/B-тесты, продуктовые метрики
⬇️ ML — классический ML/DL, метрики, Python
⬇️ Backend — сети, базы данных, API, основы разработки
⬇️ Алгоритмы — структуры данных и задачи на кодинг

То есть если в будущем хотите подаваться на зарубежные стажировки, СТАРТ можно использовать как техническую базу для подготовки и к ним.
А готовиться к зарубежным летним стажировкам начинают сильно заранее - вакансии на лето 2027 появляются уже сейчас.

Поэтому мы собрали небольшой гайд: кратко рассказали, как устроены зарубежные стажировки и отборы, и добавили подборки актуальных вакансий по разработке, ML, аналитике, продукту и другим направлениям.

Делимся гайдом с друзьями 😎",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,"Товарищи, пока идут последние 6 часов финальной распродажи на СТАРТ, хотим напомнить: база, которую вы проходите на курсах, пригодится не только для отборов в Яндекс, Авито или Т-Банк.","Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам.",sale;discount;native,True,career_courses,calendar_content_only,unknown,
postypashki_old,1838,https://t.me/postypashki_old/1838,2026-08-10T13:26:59+00:00,"Из процесс-менеджера в продуктового аналитика

Друзья, видим ваши вопросы, можно ли ещё взять СТАРТ по скидке. Поэтому продлеваем распродажу до конца сегодняшнего дня, чтобы все успели 😎

А ниже оставляем отзыв нашей ученицы с текущего потока «Аналитики СТАРТ».

Ира пришла не из профильного вуза, работала процессным менеджером и хотела перейти в бигтех на продуктового аналитика. А сейчас уже получает приглашения и ходит на собеседования.

Важно: следующий полноценный запуск линейки СТАРТ будет уже в следующем году. Сейчас последняя возможность присоединиться к текущему потоку: попасть на оставшиеся онлайн-семинары, сдавать домашки и пройти mock-собеседование с обратной связью, чтобы узнать сильные/слабые стороны и уверенно выйти на рынок.

Потом курсы будут доступны только в записи, и часть возможностей уже будет недоступна.

🔊 Поэтому пока действует финальные скидки и впереди ещё почти весь август, чтобы спокойно поботать до начала учебы, ждем вас на обучении!

Подробную программу смотрите на сайте.

📌 Для вопросов и записи на курс напишите менеджеру",confirmed,sale;discount;native,"[""Аналитика старт""]",explicit,А ниже оставляем отзыв нашей ученицы с текущего потока «Аналитики СТАРТ».,Прямо названа «Аналитики СТАРТ» и дана ссылка на её программу. Общая распродажа СТАРТ также упомянута; остальные направления не добавлены к явному соответствию.,sale;discount;native,True,career_courses,calendar_content_only,unknown,Продление относится к распродаже линейки СТАРТ. Аналитика старт прямо названа в отзыве; не сужать весь объект акции только до неё.
algoses,595,https://t.me/algoses/595,2026-08-10T15:01:31+00:00,"Нужны ли алгоритмы сейчас, в эпоху ИИ, на собесах

До 2025 года из каждого утюга вы слышали про эти ""алгособесы"". Любой отбор в школы, на стажировки или штатные позиции обязательно выглядел как школьная олимпиада по программированию. А основная подготовка к выходу на работу заключалась в нарешивании Литкода.

Почему так происходило
Оценить весь огромный стек технологий за часовое собеседование - нереально. Почти любая рабочая задача в бигтехе, которая проверяет твой реальный уровень, занимает минимум неделю работы. Очевидно, в часовой формат такое не укладывается, поэтому для оценки кандидата пошли по иному пути:

1. рассказ про опыт и свои харды;
2. решение брейн-тизеров и алгоритмических задач.

По первому пункту кандидат, конечно, может обмануть, если хорошо проработает легенду. Но обычно таких ребят быстро ловят - им не хватает скиллов, чтобы придумать качественную и непротиворечивую историю. А вот вторым пунктом выступили алгоритмы, которые идеально подходят сразу для аналитики, ML и бэкенда. Во всех этих направлениях так или иначе присутствует написание кода, а алгоритмический аппарат дает незаменимый навык быстро рефакторить код и видеть его структуру.

А что сейчас
Некоторые компании отказались от отдельных алгособесов, но оставили задачки в других секциях (livecoding). Однако в крупных бигтехах алгосекция все так же существует. Более того, в зарубежных вакансиях алгоритмические секции сейчас, наоборот, снова в тренде.

Чем обусловлен небольшой спад тренда? Компании перегрели кандидатов: на секциях стали спрашивать слишком простые задачки, которые при хорошей подготовке никак не отражают объективно твое умение строить алгоритмы. По сути, их можно просто ""зарешать"" количеством, и на собесе ты решишь задачу не потому, что придумал решение, а потому что встречал похожую идею раньше.
Но альтернативу алгосам так и не придумали. Давать математический брейн-тизер бэкендеру странно, а усложнить алгозадачу до уровня, где нельзя натренировать типовые паттерны - перебор, ведь это лишь метод проверки мышления, спрашивать вкатуна систем дизайн- ту мач.

Главный вывод.
Алгоритмический аппарат в эпоху LLM станет как никогда актуальным. Ваша задача на работе будет сводиться к тому, чтобы быстро валидировать код, написанный нейросеткой. Это значит, что вам нужно моментально разбираться в чужом коде и видеть узкие места. Именно такие навыки и тренируют алгоритмические задачки.

Поэтому не стоит надеяться, что алгосы пропадут с рынка. В будущем это будет наиболее актуальный и надежный инструмент проверки твоего инженерного мышления.

Что с этим делать и как подготовиться
Если вы готовитесь к собеседованиям, важно понимать: алгоритмы - это не про запоминание 500 задач, а про тренировку шаблонов мышления. Чтобы решать задачи за 20 минут, нужно не заучивать код, а видеть структуру задачи сходу.

Но просто читать про это недостаточно. Чтобы выйти на алгособес уверенно, нужна системная практика с разбором реальных кейсов.
Если хотите оставаться в тренде IT-рынка и его жестких требований, советую наши курсы «Старт». У нас есть отдельный курс по алгоритмам, разбор реальных задач с собеседований в топ-компаниях и подходы, которые учат именно думать, а не зубрить.

Специально для подписчиков канала мы продлили финальные скидки на обучение на 24 часа. Если давно хотели прокачать свой алгоритмический аппарат до уровня топ-компаний, сейчас лучший момент. Это последний шанс взять комбо: алгоритмы + любой курс по специальности по хорошей цене и уже осенью залутать оффер!
➡️ Записаться

Подписаться: @algoses",confirmed,sale;discount;native,"[""Алгоритмы старт""]",family_candidate,"Специально для подписчиков канала мы продлили финальные скидки на обучение на 24 часа. Если давно хотели прокачать свой алгоритмический аппарат до уровня топ-компаний, сейчас лучший момент. Это последний шанс взять комбо: алгоритмы + любой курс по специальности по хорошей цене и уже осенью залутать оффер!
➡️ Записаться","В тексте вместе упомянуты линейка Старт, отдельный курс по алгоритмам и комбо с другим курсом. Алгоритмы старт — кандидат; полное каноническое название не написано, второй курс не указан.",sale;discount;native,True,career_courses,calendar_content_only,unknown,
