channel_username,message_id,post_url,published_at,text,marketing_status,tags,mapped_courses,course_match_status,evidence_text,classification_note,in_core,is_activity,text_hash,scenario_post_time,scenario_day,peak_day,peak_case_amount_rub,scenario_sales_utc_offset_hours
postypashki_old,1833,https://t.me/postypashki_old/1833,2026-08-07 14:22:16+00:00,"Слив алгоритмического собеса в Авито. Смотрим! Смотрим!

https://www.youtube.com/watch?v=dO8fHARGgZY&sttick=0

Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито. Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!",confirmed,native,"[""Алгоритмы старт""]",explicit,Выкладываем запись мок-собеседования с курса алгоритмы старт по протоколу Авито. В Авито алгоритмы могут спросить на разработчика и мл специалиста - смотрите наш гайд по алгоритмам на собесах Авито. Если вы готовитесь к стажировкам или первой работе обязательно посмотрите!,"Курс прямо назван в рекламном контексте или указан в конкретной ссылке на программу; регистр / склонение / очевидный языковой вариант приведены к названию XLSX. Это соответствие названия, не атрибуция продаж.",True,True,f3382a6511ace7f0f64e1bac6799a1cfcb384e2003e1d1580422991d98a9b0d3,2026-08-07 14:22:16,2026-08-07,2026-08-09,524091.67,0
chad_protocol,510,https://t.me/chad_protocol/510,2026-08-08 09:24:53+00:00,"Почему автоотклики - полный кринж

В последнее время у зумеров стали популярны всякие ИИ-агенты и подобная нечесть, которая за тебя и LinkedIn, и GitHub заполнит, и вакансии найдёт, и под каждую напишет резюме с сопроводительным письмом, и с рекрутером пообщается, и собес пройдёт, и испытательный срок… и жену твою… Короче, полный кринж. Почему это всё не работает?

1. Профили, заполненные нейроскопом, LinkedIn отправляет в теневой бан.
Рекрутеры такие профили обходят стороной.

2. Про нейроскопные резюме и сопроводительные письма уже был мем.
Кандидат написал, что работал с моделями «Ясасу Бибу» и «Цист Яна». Сейчас вакансий и так немного, а кандидатов - завались, поэтому рекрутеры просто реджектят нейроскоп-резюме. Надо же как-то отсеивать.

3. То же самое с общением. Сгенерированный текст все научились различать невооружённым взглядом. Ну и вам самим приятно, когда собеседник тупо отвечает как GPT? У нас в РФ к этому пока терпимее, а вот за рубежом с их культурой общения - сразу бан. Причём в прямом смысле: добавляют в чёрные списки.

Блин, как же я умираю со смеху, когда говорят, что чёрных списков не существует. Серьёзно? Мы живём в мире, где ИИ-агенты проходят собесы и откликаются на вакансии, где есть селф-драйвы и распознавание лиц в метро. И вы думаете, рекрутер не может навайбкодить что-то подобное? Может, наша slavic girl, перекатившаяся с ноготочков на HR-менеджмент, и не сможет. А вот тётя Линда, которая живёт этим десяток лет, - спокойно навайбкодит. Это её хлеб, репутация и статус. Crazy пиндосы, короче.

4. А сколько мне за последний месяц отдали ТЗ с техническими ошибками, сгенерированными нейронкой…
Я знаю случаи, когда использование нейросети приводило к ошибкам в проде, но джуны/мидлы продолжают верить, что это революция, и бездумно копируют код из терминала в прод, не проверяя.
Я к этому отношусь очень скептически и всем зумерам ограничил права (серьезно всем младше 25 лет я не доверяю). Если нейронка выдаёт скрипт на удаление/merge/insert - десять раз проверяю перед использованием, потому что она может убить валидные данные. Но зумеры об этом не думают.
У меня команда состоит из:
3 ChatGPT,
1 Grok,
2 Claude Code,
2 Gemini,
1 Lovable,
и я на Claude Code + Gemini

Итого. Советую чат гпт использовать для вдохновения и шлифовки уже имеющегося решения/текста. Следите, чтобы решение не было сгенерено более чем на 20% нейронкой. И подключайтесь на наши курсы ""СТАРТ"" по топовой скидочки, где научим вас думать лучше нейросетки в 100 раз, научим проходить hr фильтры и строить топовую карьеру 🤩.
➡️ Записаться

Подписаться: @chad_protocol",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,"рено более чем на 20% нейронкой. И подключайтесь на наши курсы ""СТАРТ"" по топовой скидочки, где научим вас думать лучше нейросетки в 100 раз, научим проходить hr фильтры и строить топовую карьеру 🤩.
➡️ Записаться","Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам.",True,True,b75c29dbe2769ab5604c77d067b30cec575c163f8fa3edc92604d11f90c078c4,2026-08-08 09:24:53,2026-08-08,2026-08-09,524091.67,0
postypashki_mems,1373,https://t.me/postypashki_mems/1373,2026-08-08 10:34:46+00:00,"Осенний найм уже на старте!

Осенью запускаются стажировки, открываются вакансии и поэтому август — лучшее время для подготовки: понять, что спрашивают на отборах, оценить свой уровень и закрыть пробелы до начала учебы!

Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽

➡Аналитика
➡Алгоритмы
➡Backend
➡Machine Learning

Почему сейчас лучшее время присоединиться:
✔️Гибкий старт: все лекции по техническим темам уже выложены и доступны — проходите в своём темпе, а куратор остается на связи и проверит дз и проекты.
✔️Карьерный блок: онлайн-семинарам по софтам. Напишете резюме, которое пройдет скрининг, даже если нет опыта, отработаете самопрезенатицию, пройдёте mock-собеседование с обратной связью.
✔️Закрытый банк вопросов с реальных интервью Яндекса, Т-Банка, Ozon, WB, Авито и других топ-компаний.
✔️Разбор текущего отбора на стажировок Яндекса.
✔️ Реферальная рекомендация в бигтех после успешной защиты пет-проекта.

Выгодное комбо:

➡️Алгоритмы + любой курс всего за 9 990 ₽⬅️

Берите Backend, ML или Аналитику и параллельно ботайте алгоритмы — они встречаются везде, без хороших алгосов не пройти отбор в хорошую компанию.

🔊 Распродажа только 8-9 августа.
Подробную программу смотрите на сайте

📌Для вопросов и записи на курс напишите менеджеру",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽,"Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам. Исходная ссылка пересылки есть в JSONL; публикация / подпись автора не подтверждает платность внешнего размещения или контакт покупателя.",True,True,09564a3558eb6622083a050686e03abb85dbd7d18550f6b08bfa0737a1daf3d3,2026-08-08 10:34:46,2026-08-08,2026-08-09,524091.67,0
algoses,594,https://t.me/algoses/594,2026-08-08 14:04:16+00:00,"Осенний найм уже на старте!

Осенью запускаются стажировки, открываются вакансии и поэтому август — лучшее время для подготовки: понять, что спрашивают на отборах, оценить свой уровень и закрыть пробелы до начала учебы!

Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽

➡Аналитика
➡Алгоритмы
➡Backend
➡Machine Learning

Почему сейчас лучшее время присоединиться:
✔️Гибкий старт: все лекции по техническим темам уже выложены и доступны — проходите в своём темпе, а куратор остается на связи и проверит дз и проекты.
✔️Карьерный блок: онлайн-семинарам по софтам. Напишете резюме, которое пройдет скрининг, даже если нет опыта, отработаете самопрезенатицию, пройдёте mock-собеседование с обратной связью.
✔️Закрытый банк вопросов с реальных интервью Яндекса, Т-Банка, Ozon, WB, Авито и других топ-компаний.
✔️Разбор текущего отбора на стажировок Яндекса.
✔️ Реферальная рекомендация в бигтех после успешной защиты пет-проекта.

Выгодное комбо:

➡️Алгоритмы + любой курс всего за 9 990 ₽⬅️

Берите Backend, ML или Аналитику и параллельно ботайте алгоритмы — они встречаются везде, без хороших алгосов не пройти отбор в хорошую компанию.

🔊 Распродажа только 8-9 августа.
Подробную программу смотрите на сайте

📌Для вопросов и записи на курс напишите менеджеру",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,Поэтому не упусти финальную распродажу курсов «СТАРТ» — любой курс всего за 6 490 ₽,"Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам. Исходная ссылка пересылки есть в JSONL; публикация / подпись автора не подтверждает платность внешнего размещения или контакт покупателя.",True,True,09564a3558eb6622083a050686e03abb85dbd7d18550f6b08bfa0737a1daf3d3,2026-08-08 14:04:16,2026-08-08,2026-08-09,524091.67,0
postypashki_old,1836,https://t.me/postypashki_old/1836,2026-08-09 10:32:11+00:00,"Дайджест вакансий

Товарищи, собрали свежие стажировки и junior-вакансии по аналитике, ML и разработке. Сохраняйте и отправляйте резюме - ждать осеннего найма необязательно.

📌 АНАЛИТИКА
→ ВТБ — Стажёр в «Цифровые помощники»
→ Альфа-Банк — Стажёр в департамент продаж и развития малого и микробизнеса
→ Альфа-Банк — Стажёр в отдел разработки дебетовых продуктов
→ Ozon — Стажёр-аналитик в коммерцию
→ Ozon — Младший аналитик данных
→ Ozon — Стажёр продуктовый аналитик, Производство Fulfillment
→ МТС — Стажёр Data Analyst Geo
→ Т-Банк - Младший продуктовый аналитик
→ Магнит — Стажер-продуктовый аналитик (направление данных и метрик)

💡 MACHINE LEARNING
→ Альфа-Банк — Стажёр NLP инженер
→ Ozon Tech — Стажер ML-инженер, рекомендательные системы
→ МТС — Стажер ML Engineer
→ VK — ML-инженер (Audio/Deep Learning)
→ VK — ML-инженер в рекомендательные системы
→ CБЕР — Стажер
→ СБЕР — Стажер разработка и внедрение решений с LLM
→ CБЕР — Стажер-разработчик AI-агентов

▶️ BACKEND
→ Ozon Tech — Стажёр-разработчик Golang
→ Ozon Tech — Стажёр Go-разработчик, Витрина товаров и управление заказами
→ Ozon — Младший Python разработчик
→ VK — Backend-разработчик
→ VK — Golang-разработчик
→ VK — Backend-разработчик

🫥🫥🫥🫥
Если по требованиям понимаете, что каких-то знаний пока не хватает - приходите ботать на наши карьерные курсы СТАРТ. На курсах разбираем базу по аналитике, ML, Backend и алгоритмам, программа курсов можно посмотреть на нашем сайте.

Лекции и семинары уже доступны в записи - можно сразу идти ботать нужные темы в своём темпе. А карьерные семинары только начинаются: если пока нет нормального резюме или не знаете, как проходят отборы, то вместе с преподавателем соберёте резюме под вакансии, подготовите самопрезентацию и пройдёте mock-собеседование, чтобы оценить свой уровень.

🔊 До конца дня на СТАРТы действует финальная скидка 55%. Успевайте присоединиться!

➡️ Записаться",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,🔊 До конца дня на СТАРТы действует финальная скидка 55%. Успевайте присоединиться!,"Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам.",True,True,56b3fcc404783b3eb4df9d48b97314ad7e27f67e2e4eccb4a3c7d7c4d2e0c011,2026-08-09 10:32:11,2026-08-09,2026-08-09,524091.67,0
postypashki_old,1837,https://t.me/postypashki_old/1837,2026-08-09 15:35:40+00:00,"Как найти стажировку зарубежом

Товарищи, пока идут последние 6 часов финальной распродажи на СТАРТ, хотим напомнить: база, которую вы проходите на курсах, пригодится не только для отборов в Яндекс, Авито или Т-Банк.

Зарубежные компании на технических собеседованиях проверяют плюс-минус те же темы:

⬇️ Аналитика — SQL, статистика, A/B-тесты, продуктовые метрики
⬇️ ML — классический ML/DL, метрики, Python
⬇️ Backend — сети, базы данных, API, основы разработки
⬇️ Алгоритмы — структуры данных и задачи на кодинг

То есть если в будущем хотите подаваться на зарубежные стажировки, СТАРТ можно использовать как техническую базу для подготовки и к ним.
А готовиться к зарубежным летним стажировкам начинают сильно заранее - вакансии на лето 2027 появляются уже сейчас.

Поэтому мы собрали небольшой гайд: кратко рассказали, как устроены зарубежные стажировки и отборы, и добавили подборки актуальных вакансий по разработке, ML, аналитике, продукту и другим направлениям.

Делимся гайдом с друзьями 😎",confirmed,sale;discount;native,"[""Аналитика старт"", ""Алгоритмы старт"", ""Backend старт"", ""ML старт""]",family_candidate,"Товарищи, пока идут последние 6 часов финальной распродажи на СТАРТ, хотим напомнить: база, которую вы проходите на курсах, пригодится не только для отборов в Яндекс, Авито или Т-Банк.","Общее предложение линейки СТАРТ / пакета. mapped_courses — кандидаты четырёх направлений СТАРТ, а не четыре установленных рекламных контакта. Общая сумма пакета не равна четырём отдельным чекам.",True,True,98334bd4ac6a9cbbd179022610ef298e328455e2467cf41a393d383a7656a11b,2026-08-09 15:35:40,2026-08-09,2026-08-09,524091.67,0
postypashki_old,1878,https://t.me/postypashki_old/1878,2026-09-03 16:06:06+00:00,"❗️ Скоро заканчивается отбор на стажировку в Т-банк

Дедлайн подачи до 6 сентября, задания тут. В посте обсудим основные моменты. Разбор экзаменов уже выложен на наших соответствующих курсах ПРО.
➡️ Записаться

➡️ Обязательно подаемся
И не сомневаемся, это одна из лучших опций для получения первого опыта в индустрии: можно совмещать с учебой, загрузка от 20 часов в неделю, после нее легко залететь в штат и да, вам даже будут платить за нее! Для участия нужно просто заполнить анкету и решить отбор до 6 сентября. Задания на этот раз несложные (чекаем вот тут), но больше задач, где можно запросто ошибиться, специально сделали такие задачи, чтобы chatgpt путался с условиями и выдавал неправильные ответы и тех, кто спишет эти ответы, просто забанят в системе Т-банка. Осень - второй пик по вакансиям, стажировкам и это то самое время, которое нужно посвятить карьере и активному боту, пока учеба на низком старте. У топов собесы начнутся в конце сентября, а у работяг в октябре.

➡️ Пишем качественную анкету
Проходной на собес везде разный и зависит от популярности специальности и кол-во выделенных мест, региона. Где-то проход 350, а где-то 600 за контест. Далее отбор идет по анкете. Командам и HR очень важна ваша мотивация и погруженность в специальность. Будет обидно набрать полный балл за контест, но не заполнить анкету (подробный совет тоже даем участникам наших курсов). Общие советы такие: пишем про курсы, которые проходили и не проходили, фокусируем внимание на курсах от Т-банка. Только помните, что на собесе нужно будет не запутаться в этих выдумках. Обязательно пишем про олимпиадный опыт, даже школьный, от олимпиадников все просто сходят с ума. Пишем образование. Про свои стартапы и телеграмм каналы советую писать осторожно: это может отпугнуть. Подумают, что после года работы в штате вы уйдете строить свой мега успешный бизнес, а работодатель хочет, чтобы вы росли и развивались внутри компании и стали приносить пользу именной ей.

Сразу создаем второй телеграмм канал для работы и учебы с настоящим именем и фамилией, без неоднозначных статусов и аниме на аватаре. Это может оттолкнуть рекрутеров. Также с этого аккаунта не пишем никому и некуда никакие неоднозначные тезисы, которые могут стать народным достоянием и вас скомпрометировать. Работодателю важно, чтобы вы разделяли корпоративные ценности. Касаемо составления анкеты и резюме более подробно рассказывал в ролике, обязательно посмотрите.

➡️ Собеседование
Раньше большинство собесов было похоже на смотрины: команда рассказывала про себя, а вы про себя. Спрашивали мотивацию, бизнес кейс и может немного теории, задачи давали только на какого-нибудь риск аналитика. Сейчас все по-другому: контест не катает только ленивый, поэтому собесе почти всегда дают задачи. На аналитику и мл могут спросить матешу, скл, питон, а на разработчика и мл простенькие алгоритмы. Некоторые из этих заданий можно чекнуть тут, и тут, и тут, и тут, а если вы хотите разбор всех тасков с собесов - бегом на наши курсы.

➡️ Подробности
Более подробно обо всем этом можно посмотреть в видео. Главное помните, что шанс выиграть в этой игре > 90% (по крайней мере, в прошлом году именно таким был процент взятых на стажировку среди наших учеников), если знать правила игры. Серьезно, прошлым летом выпускница нашего курса по аналитике прошла отбор и стала стажером-аналитиком едва закончив 11-ый класс.

Подписаться: @postypashki_old",confirmed,sale;native,"[""Аналитика про"", ""ML про"", ""Backend про"", ""Алгоритмы про"", ""AI агенты""]",family_candidate,"Дедлайн подачи до 6 сентября, задания тут. В посте обсудим основные моменты. Разбор экзаменов уже выложен на наших соответствующих курсах ПРО.
➡️ Записаться",Продвигается линейка ПРО или её общий карьерный блок. mapped_courses — кандидаты из пяти направлений объявленного набора; это не подтверждение индивидуальной рекламы каждого курса или контакта с ним.,True,True,db859aec63ab87551e6900f52f748a53dd40f16167538bd3aaf57d6fb1caf37c,2026-09-03 16:06:06,2026-09-03,2026-09-05,484684.0,0
postypashki_mems,1410,https://t.me/postypashki_mems/1410,2026-09-03 16:15:26+00:00,"Открылся отбор на стажировку в Т-Банк

Задачи уже выложены в нашем чате (тут).

Специально для участников курсов про уже мы уже выложили разбор соответствующих экзаменов. В разборе мы покажем подход к решению задач и как оформить ответ, чтобы получить высокий балл.

Также на курсах будет доступно:
🔽 Курс по выходу на доход в валюте
🔽 Разбор текущей стажировки Яндекса
🔽 Гарантия оффера
🔽 Огромный банк технических вопросов
🔽 Рефералка в бигтех после защиты пет-проекта
🔽 mock-собеседования с обратной связью

📌 Вопросы и запись — менеджеру",confirmed,sale;native,"[""Аналитика про"", ""ML про"", ""Backend про"", ""Алгоритмы про"", ""AI агенты""]",family_candidate,📌 Вопросы и запись — менеджеру,Продвигается линейка ПРО или её общий карьерный блок. mapped_courses — кандидаты из пяти направлений объявленного набора; это не подтверждение индивидуальной рекламы каждого курса или контакта с ним.,True,True,4b83026f963666f403237170d3a7f9306fe6917373fef49d6340ee86ff1f525a,2026-09-03 16:15:26,2026-09-03,2026-09-05,484684.0,0
postypashki_mems,1412,https://t.me/postypashki_mems/1412,2026-09-05 15:50:19+00:00,"Последняя возможность присоединиться к курсам ПРО и забрать оффер в Т-банк

Товарищи, уже в этот понедельник стартуют наши курсы. Для вопросов и записи на курс пишите менеджеру

Только до 06.09 цена за один курс 14 795 ₽ ➡️ 8 950 ₽

Можно выбрать направление:
⏩ Backend ПРО
⏩ Алгоритмы ПРО
⏩ Аналитика ПРО
⏩ ML ПРО
⏩ ИИ-агенты ПРО

❗️Действует гарантия: прошел курс, выполнил все рекомендации, но не получил оффер — вернем деньги
❗️Курс длится 6 недель: теория, практика, домашние задания и пет-проект. Всё это время рядом преподаватель и куратор.
❗️Разбор Т-банка: уже выложен для участников наших курсов! Подробная инфа по прохождению и заполнению анкеты прилагается

На выходе ты будешь владеть более продвинутыми инструментами, стеком и сможешь претендовать на большее количество вакансий. Ты в разы увеличишь свои шансы на топовый оффер (полная программа на сайте).",confirmed,sale;discount;launch,"[""Аналитика про"", ""ML про"", ""Backend про"", ""Алгоритмы про"", ""AI агенты""]",family_candidate,Только до 06.09 цена за один курс 14 795 ₽ ➡️ 8 950 ₽,Продвигается линейка ПРО или её общий карьерный блок. mapped_courses — кандидаты из пяти направлений объявленного набора; это не подтверждение индивидуальной рекламы каждого курса или контакта с ним. Исходная ссылка пересылки есть в JSONL; публикация / подпись автора не подтверждает платность внешнего размещения или контакт покупателя.,True,True,acc14fbb52999c3a9357921f6f39b119434848721082c3fca970f073e66a37e8,2026-09-05 15:50:19,2026-09-05,2026-09-05,484684.0,0
postypashki_mems,1412,https://t.me/postypashki_mems/1412,2026-09-05 15:50:19+00:00,"Последняя возможность присоединиться к курсам ПРО и забрать оффер в Т-банк

Товарищи, уже в этот понедельник стартуют наши курсы. Для вопросов и записи на курс пишите менеджеру

Только до 06.09 цена за один курс 14 795 ₽ ➡️ 8 950 ₽

Можно выбрать направление:
⏩ Backend ПРО
⏩ Алгоритмы ПРО
⏩ Аналитика ПРО
⏩ ML ПРО
⏩ ИИ-агенты ПРО

❗️Действует гарантия: прошел курс, выполнил все рекомендации, но не получил оффер — вернем деньги
❗️Курс длится 6 недель: теория, практика, домашние задания и пет-проект. Всё это время рядом преподаватель и куратор.
❗️Разбор Т-банка: уже выложен для участников наших курсов! Подробная инфа по прохождению и заполнению анкеты прилагается

На выходе ты будешь владеть более продвинутыми инструментами, стеком и сможешь претендовать на большее количество вакансий. Ты в разы увеличишь свои шансы на топовый оффер (полная программа на сайте).",confirmed,sale;discount;launch,"[""Аналитика про"", ""ML про"", ""Backend про"", ""Алгоритмы про"", ""AI агенты""]",family_candidate,Только до 06.09 цена за один курс 14 795 ₽ ➡️ 8 950 ₽,Продвигается линейка ПРО или её общий карьерный блок. mapped_courses — кандидаты из пяти направлений объявленного набора; это не подтверждение индивидуальной рекламы каждого курса или контакта с ним. Исходная ссылка пересылки есть в JSONL; публикация / подпись автора не подтверждает платность внешнего размещения или контакт покупателя.,True,True,acc14fbb52999c3a9357921f6f39b119434848721082c3fca970f073e66a37e8,2026-09-05 15:50:19,2026-09-05,2026-09-06,396075.0,0
