channel_username,message_id,post_url,published_at,text,marketing_status,tags,mapped_courses,course_match_status,evidence_text,classification_note
postypashki_mems,1363,https://t.me/postypashki_mems/1363,2026-08-04T12:41:34+00:00,"Вуманмомент?

@postypashki_mems",non_marketing,,[],none,Вуманмомент?,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
algoses,590,https://t.me/algoses/590,2026-08-04T14:20:17+00:00,"Задача с собеседования в TCS

Дан массив nums, состоящий из различных чисел в диапазоне от 0 до n. Верните единственное число из диапазона, отсутствующее в массиве.

Follow up: можете ли вы реализовать решение с использованием лишь O(1) дополнительной памяти и временной сложностью O(n)?

Пример 1:
Input: nums = [3,0,1]
Output: 2
Explanation: n=3, так как в массиве три числа; таким образом, все числа находятся в диапазоне [0, 3]. Число 2 отсутствует в этом диапазоне, поскольку его нет в массиве nums.

Пример 2:
Input: nums = [0,1]
Output: 2
Explanation: n=2, так как в массиве 2 числа; таким образом, все числа находятся в диапазоне [0, 2]. Число 2 отсутствует в этом диапазоне, поскольку его нет в массиве nums.

Пример 3:
Input: nums = [9,6,4,2,3,5,7,0,1]
Output: 8
Explanation: n=9, так как в массиве 9 чисел; таким образом, все числа находятся в диапазоне [0, 9]. Число 8 отсутствует в этом диапазоне, поскольку его нет в массиве nums.

Ограничения:
n == nums.length
1 <= n <= 10⁴
0 <= nums[i] <= n
Все числа в nums уникальны.

НАШ ЧАТ АЛГОРИТМИСТОВ

Решение
Задача может быть решена арифметическим способом: подсчитываем сумму всех чисел диапазона от 0 до n и вычитаем из неё сумму эл-тов входного массива - разница равняется отсутствующему числу.

Предлагаю разобрать более интересный вариант решения с помощью побитового оператора XOR (исключающего ИЛИ), сравнивающего два бита:
- если биты одинаковые -> 0
- если биты разные -> 1

Применяем XOR для ""обнуления"" повторяющихся значений из массива nums и полного набора чисел диапазона от 0 до n, используя свойство: a ^ a = 0. Отсутствующее число встретится только один раз и останется в результате по свойству a ^ 0 = a. Предварительная сортировка массива не требуется, так как a ^ b = b ^ a.
- проходим циклом по числам от 0 до n, накапливая XOR в res;
- проходим циклом по массиву nums, также накапливая XOR;
- возвращаем res.

Сложность
O(n) - по времени (проходим двумя циклами по n элементам)
O(1) - по памяти (храним только одну переменную res)

Код
class Solution:
def missingNumber(self, nums: List[int]) -> int:
n = len(nums)
res = 0

for i in range(n + 1):
res ^= i

for num in nums:
res ^= num

return res

@algoses",non_marketing,,[],none,Задача с собеседования в TCS,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
chad_protocol,506,https://t.me/chad_protocol/506,2026-08-04T14:49:32+00:00,"Поиск работы череp Linkedin

Отклики через headhunter сейчас работают фигово: мало вакансий-много кандидатов, много вкатунов-накрутчиков. Вакансии пишутся рекрутерами через гпт, поэтому могут быть странные или высокие требования. По итогу большинство вакансий отсеиваются еще на этапе скрининга, проходят единицы только при идеальном мэтче. Хотя и рекрутер, и компания готовы предложить и условие повыгоднее и требования пониже.

Что делать
Вкатываться в социальную инженерию! Например, найти контакты рекрутера через тот же Linkedin и обсудить с ним вакансию. Советую не только красиво оформить резюме, но и Linkedin, GitHub, Хабр карьера и прочее. Рекрутеры стали просить подтверждение опыта. Если на этих ресурсах будет ненастоящий опыт, можно подать жалобу.

Наглые подкаты
Если видите, что открыта вакансия, заходите в Linkedln и добавляете в друзья всех, кто там работает, затем спамите в личку о том, какой крутой вы и какие крытые они и просите взять на собес. Хорошо если получится зацепиться за общее место учебы/прошлое место работы и так далее. Очень велика вероятность, что в команде есть место или в команде их знакомого и тд. После такого спама до собеса доходит как правило 30-20% и это отличный вариант, ибо могут попросить пропустить вас на скрининге или на собесе. Немало историй, когда соискателя HR реджектят со всех платформ, а потом он пишет не последнему члену команды и его пропускают на собес.
Вакансии можно смотреть на Хабр Карьера, во всяких телеграм каналах компаний в духе Яндекс Нанимает или же на край тот же HH.ru. Только чекайте там личку, а то можете пропустить время собеса/ важную инфу.

Нетворк
В идеале, конечно, если у вас куча друзей и знакомых с индустрии и есть возможность залететь с рефкой на собес, там и отношение как правило получше и команда повайбовей. Ведь если вашему приятелю там норм, то и вам скорее всего тоже будет норм. Поэтому нелишним будет поспрашивать помощи у друзей по этом вопросу и друзей их друзей— своеобразный поиск в ширину, но нередко прокатывает. Как организовывать качественный нетворк читайте последний пост в главном канале.

Подписаться: @chad_protocol",non_marketing,,[],none,Поиск работы череp Linkedin,"В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
postypashki_mems,1366,https://t.me/postypashki_mems/1366,2026-08-04T15:31:41+00:00,"Там куда я ездил, нет блокировок - телега, инста, ютуб работают замечательно

Но все же у других стран и России есть что-то общее. Вконтакте везде работает через жопу и крайне медленно.
Позорная отсталая соц сеть она и в Африке позорная и отсталая соц сеть

@postypashki_mems",non_marketing,,[],none,"Там куда я ездил, нет блокировок - телега, инста, ютуб работают замечательно","В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
postypashki_old,1829,https://t.me/postypashki_old/1829,2026-08-04T15:50:24+00:00,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!

https://www.youtube.com/shorts/d_lUVE5oo7A",candidate,other;uncertain,[],none,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!",Потенциальное продвижение собственного контента / репутации; в тексте нет достаточного подтверждения продажи или конкретного курса. Содержание внешнего видео не исследовалось.
postupashki,4682,https://t.me/postupashki/4682,2026-08-04T16:51:03+00:00,"Товарищи, сегодня фактически последний день поступления

Да, формальный дедлайн - это 5 августа, 12:00 по Москве. Вчера вышли приказы по БВИ и квотам, поэтому теперь можно нормально оценить конкурсные списки.

Что бы я советовал вам сделать сегодня, если вы поступаете по ЕГЭ (всем БВИшникам, кстати обязательно записаться на курс подготовки к ВУЗу):

1. Пересчитать бюджетные места
Посмотрите, сколько мест осталось после зачисления БВИ и квотников. Лучше ориентироваться на списки на сайтах самих вузов - обычно там информация обновляется быстрее. Плюс, во всех хороших местах анализируют приемные компании прошлых лет, выкладывают свою аналитику, обзванивают людей и тп, поэтому не поленитесь и почекайте соц сети выбранных мест/позвоните в ПК и задайте прямой вопрос о ваших шансах (это поможет вам оценить свои шансы, но точно не должно восприниматься как истина в последней инстанции).

2. Обязательно проверьте ВПП
Это высший проходной приоритет. Проще говоря, программа, куда вы прямо сейчас точно проходите.

3. Советую выбрать основной и резервный варианты
Основной вуз, куда вы хотите и пока проходите с небольшим запасом. Запасной вуз, где запас заметно больше и куда можно быстро переложить согласие. Вечером 4 августа обычно разумнее держать согласие именно в основном варианте.

4. Помнить про правило двух часов
Согласие можно перекладывать не чаще одного раза в два часа. Поэтому метаться между вузами в последний момент опасно: можно просто не успеть вернуться в запасной вариант (для запаса берем хотя бы 2.5 часа).

5. Утром проверить всё ещё раз
Завтра не поленитесь: поставьте будильник пораньше и посмотрите списки, ВПП и свой запас. Если там что-то меняется, то лучше оставить себе два часа на экстренный переход. Очень важно держать в уме, что списки обновляются с задержкой. Приёмные комиссии могут ещё обрабатывать согласия, которые принесли лично или отправили курьером. Поэтому сейчас лучше исходить из худшей оценки ситуации и принимать решение имея хотя бы какой-то запас по баллам!

И помните, камрады, дедлайн для всех регионов и часовых поясов 5 августа, 12:00 по Москве.",confirmed,sale;native,"[""К ВУЗу""]",explicit,"Что бы я советовал вам сделать сегодня, если вы поступаете по ЕГЭ (всем БВИшникам, кстати обязательно записаться на курс подготовки к ВУЗу):","Курс прямо назван в рекламном контексте или указан в конкретной ссылке на программу; регистр / склонение / очевидный языковой вариант приведены к названию XLSX. Это соответствие названия, не атрибуция продаж. Школьное направление: явно названа программа «К ВУЗу»; это не реклама взрослых карьерных курсов."
chad_protocol,507,https://t.me/chad_protocol/507,2026-08-04T17:04:07+00:00,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!

https://www.youtube.com/shorts/d_lUVE5oo7A",candidate,other;uncertain,[],none,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!",Потенциальное продвижение собственного контента / репутации; в тексте нет достаточного подтверждения продажи или конкретного курса. Содержание внешнего видео не исследовалось.
algoses,591,https://t.me/algoses/591,2026-08-04T18:05:02+00:00,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!

https://www.youtube.com/shorts/d_lUVE5oo7A",candidate,other;uncertain,[],none,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!",Потенциальное продвижение собственного контента / репутации; в тексте нет достаточного подтверждения продажи или конкретного курса. Содержание внешнего видео не исследовалось.
postypashki_mems,1367,https://t.me/postypashki_mems/1367,2026-08-04T18:26:01+00:00,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!

https://www.youtube.com/shorts/d_lUVE5oo7A",candidate,other;uncertain,[],none,"C какими айтишницами стоит строить отношения, а какие - ред флаг? В новом ролике разобрал все бигтехи по фактам: Яндекс, ВК, Т-банк, Озон, Сбер. Смотрим! Смотрим! И не говорите потом, что не предупреждал!",Потенциальное продвижение собственного контента / репутации; в тексте нет достаточного подтверждения продажи или конкретного курса. Содержание внешнего видео не исследовалось.
postypashki_mems,1368,https://t.me/postypashki_mems/1368,2026-08-05T08:39:25+00:00,"Для оффера, да

@postypashki_mems",non_marketing,,[],none,"Для оффера, да","В доступном тексте нет предложения собственных курсов, акции или продвижения отдельного мероприятия; тематический контент / мем. Обычная подпись «Подписаться» сама по себе не считалась продажей."
postupashki,4683,https://t.me/postupashki/4683,2026-08-05T12:49:06+00:00,,unknown,uncertain,[],unknown,,"Исходное text=null: отсутствует текст / подпись. Медиа не дано, его смысл и продукт неизвестны. Строка сохранена. Школьное направление: связь с взрослыми продуктами XLSX не установлена; не переносить активность на них."
chad_protocol,508,https://t.me/chad_protocol/508,2026-08-05T15:19:34+00:00,"Вопросы зарубежного HR

Собрали гайдик с популярными вопросами HR на зарубежном собесе. Советую сохранить и репетировать в очереди/метро. Полный гайд 100+ вопросами доступен в нашем блоке по карьере зарубежом.

Сейчас многих специалистов посещает хорошая мысль рассматривать карьерные возможности зарубежом. Специально для них мы добавили новый блок ""карьера зарубежом"" в наши новые курсы линейки ПРО. Собрали все самое важное:
— как себя позиционировать
— как заполнить CV, Linkedin
— базу рефералов, вакансий и рекрутеров
— как проходить собесы и торговаться за зарплату
— все о релокации
Получилось мощно, будем продавать отдельно, но участникам ПРО этого набора, блок будет доступен бесплатно.

Подписаться: @chad_protocol",confirmed,sale;launch;native,"[""Аналитика про"", ""ML про"", ""Backend про"", ""Алгоритмы про"", ""AI агенты""]",family_candidate,"ый блок ""карьера зарубежом"" в наши новые курсы линейки ПРО. Собрали все самое важное:
— как себя позиционировать
— как заполнить CV, Linkedin
— базу рефералов, вакансий и рекрутеров
— как проходить собесы и торговаться за зарплату
— все о релокации
Получилось мощно",Продвигается линейка ПРО или её общий карьерный блок. mapped_courses — кандидаты из пяти направлений объявленного набора; это не подтверждение индивидуальной рекламы каждого курса или контакта с ним.
postypashki_mems,1369,https://t.me/postypashki_mems/1369,2026-08-05T16:03:48+00:00,@postypashki_mems,unknown,uncertain,[],unknown,@postypashki_mems,В text только подпись @postypashki_mems. Наличие и смысл рекламы в медиа не установлены; подпись не превращена в отдельную рекламную кампанию.
